rent_1;Nombre;ImportFile_CustomDelayToBuy;Dias_depl_reemb;ISIN;Gestora;Inv_minima_inicial;1_Day_Return;1_Week_Return;rent_1_mes;rent_3_meses;rent_6_meses;rent_en_el_anio;rent_3_anios;rent_5_anios;rent_10_anios;Estilo_inversion_RV;Estilo_inversion_ RF;Capitaliz_media_bursatil;Patrimonio;Morningstar_Rating;Volatilidad_3;Sharpe_ 3;Ratio_de_informacion;Media_3;Com_Gestion;ImportFile_CustomBuyFee2;Com_Suscripcion;Com_deposito
27,22;Merch-Oportunidades FI;0;2;ES0162305033;Merchbanc SGIIC;0;2,18;8,04;9,17;6,41;12,89;36,53;3,91;4,09;4,5;1;;19759,98866;4,97245;3;18,04;0,2;-0,37;0,3;1,25;0;0;0,1
24,65;Renta 4 Latinoamérica FI;0;1;ES0173320039;Renta 4 Gestora SGIIC;10;-3,31;0,38;4,67;8,91;25,84;37,48;-2,59;-2,72;1,78;1;;9358,14922;2,24107;3;25,01;0,04;-0,19;0,08;1,35;0;0;0,12
21,19;Santander Acciones Latinoamericanas FI;0;0;ES0105930038;Santander Asset Management SGIIC;3000;-3,39;0,3;3,8;3,76;22,82;30,12;-0,27;-2,38;-0,24;2;;10096,46282;24,14945;3;20,13;0,1;-0,12;0,16;2,25;0;0;0,1
20,95;BBVA Bolsa Latam FI;0;1;ES0142332032;BBVA Asset Management SGIIC;600;-2,54;2,96;5,08;3,71;23,45;30,02;0,03;-1,27;0,8;2;;10984,28248;20,20589;3;20,53;0,08;-0,13;0,14;2,25;0;0;0,2
17,2;Eurovalor Iberoamérica FI;0;2;ES0133576035;Allianz Popular Asset Management SGIIC;600;-1,79;1,52;3,03;2,44;19,41;29,19;-2,07;-2,51;0,97;2;;11387,81882;5,29536;3;19,63;-0,03;-0,45;-0,05;1,35;0;0;0,15
11,08;Global Allocation FI;1;1;ES0116848005;Renta 4 Gestora SGIIC;10;2,01;4,45;6,3;12,1;3,53;10,97;10,23;15,53;9,18;1;;30409,99446;46,21474;5;18,44;0,57;0,03;0,87;1,35;0;0;0,15
10,99;Magallanes Iberian Equity M FI;0;1;ES0159201013;Magallanes Value Investors SGIIC;1;-0,13;0,66;0,92;-0,86;6,19;7,86;;;;7;;1214,89635;85,58255;;;;;;1,75;0;0;0,07
9,56;True Value FI;0;1;ES0180792006;Renta 4 Gestora SGIIC;10;0;1,29;3,65;6,57;10,5;9,73;;;;9;;401,70816;15,07373;;;;;;1,35;0;0;0,1
8,78;Renta 4 USA FI;0;1;ES0173364037;Renta 4 Gestora SGIIC;10;0,24;2,29;2,26;0,44;7,83;10,91;12,96;15,04;;2;;61885,18902;12,54029;3;12,56;1,09;-0,7;1,13;1,5;0;0;0,12
8,76;Panda Agriculture & Water Fund FI;0;1;ES0114633003;Gesiuris Asset Management SGIIC;0;0,96;3,94;3,48;4,03;9,8;10,52;5,77;;;7;;1149,59132;4,72011;3;12,01;0,51;-0,56;0,51;1,9;0;0;0,1
7,58;Fonvalcem A FI;0;3;ES0138930039;Andbank Wealth Management SGIIC;200000;-0,06;-0,29;-1,21;5,08;8,29;6,81;2,97;8,24;;8;;911,82852;9,33825;4;9,9;0,45;-0,08;0,37;0,5;0;0;0,15
7,36;Trea Rentas Emergentes FI;0;3;ES0105298006;Trea Asset Management SGIIC;0;-0,26;-0,28;-0,33;1,6;6,04;12,16;;;;;;;15,50538;;;;;;1,38;0;0;0,1
7,16;BBVA Bonos 2024 FI;0;1;ES0119176008;BBVA Asset Management SGIIC;600;-0,12;-0,37;-1,07;-0,62;2,92;5,29;;;;;;;90,78875;;;;;;0,95;0;0;0,05
7,04;Fonvalcem B FI;0;3;ES0138930005;Andbank Wealth Management SGIIC;1;-0,06;-0,3;-1,25;4,95;8,02;6,35;;;;8;;911,82852;9,33825;;;;;;1;0;0;0,15
6,66;Intervalor Bolsa Mixto FI;0;2;ES0155853031;Gesinter SGIIC;5;0,1;1,46;1,44;4,55;8,55;10,22;5,78;7,77;0,85;1;;10783,95699;6,39283;3;9,72;0,6;0,02;0,48;1,35;0;0;0,1
6,41;Mutuafondo Bolsas Emergentes D FI;0;2;ES0175805003;Mutuactivos SGIIC;10;-0,95;0,06;-1,93;-0,83;13,84;11,91;2,85;3,97;;2;;6457,32773;30,07344;3;13,69;0,3;-0,38;0,34;1,5;0;0;0,02
5,34;Xenia Flexible FI;0;3;ES0105312005;Inversis Gestión SGIIC;0;-0,31;-1,31;1,23;-3,67;-2,3;4,51;-0,88;-0,19;;5;;4536,90102;3,92839;1;6,9;-0,07;-0,89;-0,04;1,5;0;0;0,12
5,19;Renta 4 Retorno Dinámico FI;0;1;ES0128521004;Renta 4 Gestora SGIIC;10;-0,1;-0,16;0,58;0,58;4,65;5,3;2,54;2,31;;5;;3724,89097;6,01655;;4,81;0,57;;0,23;0,25;0;0;0,1
5,15;Quality Selección Emergentes FI;0;2;ES0172262000;BBVA Asset Management SGIIC;600;0,1;0;0,07;0,07;9,06;9,61;2,54;2,37;;2;9;24142,75194;10,29398;3;9,56;0,33;-1,35;0,26;1,35;0;0;0,2
5,11;Eurovalor Bonos Emergentes FI;0;2;ES0133486003;Allianz Popular Asset Management SGIIC;600;-0,11;0,88;0,12;0,04;5,96;8,06;3,45;3,26;;;;;6,345;2;5,33;0,65;-1,99;0,28;1,3;0;0;0,1
5,04;Santander Renta Fija Latinoamérica FI;0;1;ES0121772034;Santander Asset Management SGIIC;20000;0,6;1,32;1,91;2,26;8,94;9,61;5,8;4,58;3,6;;;;12,24555;;7,84;0,7;;0,45;1,15;0;0;0,1
4,92;Gestión Boutique Bissan Value FI;0;3;ES0116831001;Andbank Wealth Management SGIIC;10;-0,4;-1,99;-1,77;-3,42;9,88;4,35;3,4;;;7;;430,47553;3,1815;4;11,15;0,48;-0,47;0,44;1;0;0;0,1
4,91;Renta 4 Valor Relativo FI;0;1;ES0128522002;Renta 4 Gestora SGIIC;10;0,03;-0,02;0,21;0,83;3,25;5,73;5,64;5,88;;;;;29,80777;;4,28;1,36;;0,48;1,25;0;0;0,1
4,81;Metavalor FI;0;1;ES0162735031;Metagestión SGIIC;60;0,47;1,18;0,43;1,05;5,37;3,49;12,39;12,99;3,17;7;;1034,74161;36,93069;5;11,79;1,08;1,21;1,06;2;0;0;0,08
4,63;Eurovalor Bonos Alto Rendimiento FI;0;2;ES0133478034;Allianz Popular Asset Management SGIIC;600;-0,09;-0,1;-0,41;0,48;4,21;7,57;1,89;4,99;5,29;2;;20817,78571;3,5562;3;4,33;0,51;-1,35;0,18;1,3;0;0;0,1
4,56;Bankinter Índice América FI;0;1;ES0114763032;Bankinter Gestión de Activos SGIIC;600;0,36;4,23;0,63;0,21;4,91;6,49;8,68;13,52;5,53;2;;69676,564;93,19217;2;10,64;0,8;-1,04;0,71;1;0;0;0,1
4,53;March Global FI;0;2;ES0160982031;March Asset Management SGIIC;0;0,42;2,74;-0,04;1,66;8,05;8,3;5,52;8,27;3,62;2;;10600,85041;40,70975;3;11,76;0,51;-1,01;0,5;2,15;0;0;0,2
4,42;Argos Capital FI;0;1;ES0110194000;Renta 4 Gestora SGIIC;0;0,79;3,11;0,69;2,84;12,59;13,08;4,17;6,83;;4;;6058,49301;6,5515;4;10,58;0,3;-0,41;0,26;1,5;0;0;0,1
4,34;Mutuafondo High Yield D FI;0;2;ES0165238009;Mutuactivos SGIIC;10;-0,19;0,06;-0,39;0,44;4,53;7,15;2,74;5,55;;1;8;15228,15572;104,60654;3;4,33;0,71;-0,84;0,25;1;0;0;0,02
4,18;Magallanes European Equity M FI;0;3;ES0159259011;Magallanes Value Investors SGIIC;1;0,64;1,57;1,59;2,09;7,92;6,54;;;;4;;2248,9254;186,50399;;;;;;1,75;0;0;0,07
4,12;Bankinter Renta Fija Coral Garantizado FI;0;1;ES0162940037;Bankinter Gestión de Activos SGIIC;500;-0,27;-0,48;-1,52;-2,22;0,81;2,61;;;;;;;20,28287;;;;;;0,5;0;5;0,1
3,89;Eurovalor RV Emergentes Global FI;0;3;ES0133561037;Allianz Popular Asset Management SGIIC;600;-0,29;1,01;-1,33;-0,79;14,47;10,3;4,37;3,95;1,65;2;;13916,12851;5,41103;3;14,06;0,38;-0,26;0,44;1,9;0;0;0,1
3,83;Renta 4 Activos Globales FI;0;1;ES0173286032;Renta 4 Gestora SGIIC;10;-0,14;0,22;-0,2;0,53;3,01;5,91;4,43;4,27;0,52;2;;13733,90918;3,32463;3;5,01;0,95;-1;0,39;0,85;0;0;0,1
3,78;Arcano European Income Fund D1 FIL;0;0;ES0109924029;Arcano Capital SGIIC;125000;0,26;0,26;0,54;1,21;2,08;3,72;5,18;6,1;;;;;;;2,15;2,4;;0,42;0,5;0;0;0,06
3,78;Arcano European Income Fund A1 FIL;0;0;ES0109924003;Arcano Capital SGIIC;125000;0,26;0,26;0,54;1,21;2,09;3,72;5,18;6,11;;;;;;;2,15;2,4;;0,42;0,5;0;0;0,06
3,71;Belgravia Epsilon FI;0;1;ES0114353032;Belgravia Capital SGIIC;1000;-0,74;-0,94;-0,65;-0,57;2,76;1,38;11,44;12,41;6,27;5;;6064,65341;124,21038;5;6,94;1,66;1,24;0,96;1,25;0;0;0
3,7;Mutuafondo Bonos Corporativos Emergentes D FI;0;1;ES0164985014;Mutuactivos SGIIC;10;0;-0,21;-0,13;0,45;2,89;6,24;;;;;;;91,76611;;;;;;0;1,5;3;0
3,49;Fixed Income Asset Allocation Fund FI;0;3;ES0170893038;Renta 4 Gestora SGIIC;10;0;-0,04;-0,13;0,45;1,75;4,06;2,1;4,88;;4;7;;7,06344;3;2,06;1,06;-0,58;0,18;1,35;0;0;0,08
3,48;BBVA Bonos 2021 FI;0;1;ES0159146002;BBVA Asset Management SGIIC;600;-0,06;-0,13;-0,42;-0,52;1,05;2,56;6,45;;;;;;71,61465;;3,66;1,74;;0,52;0,95;0;0;0,05
3,45;BBVA Bolsa Emergentes MF FI;0;2;ES0110116037;BBVA Asset Management SGIIC;600;0,79;-0,55;0,3;1,17;15,07;9,88;4,45;4,55;2,8;2;;12787,36108;41,49983;4;12,91;0,4;-0,21;0,43;1,35;0;0;0,15
3,44;Caja Ingenieros Emergentes FI;2;2;ES0109221038;Caja Ingenieros Gestión SGIIC;500;-1,34;0,08;-4,79;-1,67;9,27;6,83;3,6;4,2;1,93;3;;23967,53717;17,79666;3;13,99;0,38;-0,14;0,44;1,35;0;0;0,2
